estrategia,modo_evaluacion,Recall@5,Recall@10,MAP@10,NDCG@10,Latencia_Promedio_Segundos,Tokens_Contexto_Promedio
1_BoW,llm_judge,86.67,93.33,0.5944,0.678,1.0522,2166.7
2_TF-IDF,llm_judge,90.0,96.67,0.6928,0.7605,0.8529,2073.5
3_BM25,llm_judge,83.33,86.67,0.5875,0.6562,0.4784,2178.3
4_Embeddings,llm_judge,100.0,100.0,0.8678,0.9014,0.3207,2189.7
5_Hibrido_RRF,llm_judge,93.33,100.0,0.7854,0.8376,0.7581,2219.6
6_Hibrido_CrossEncoder,llm_judge,96.67,96.67,0.8122,0.8503,9.3839,2199.0
7_Embeddings_CrossEncoder,llm_judge,96.67,100.0,0.7758,0.8304,8.5632,2212.6
8_MultiQuery_Embeddings_CrossEncoder,llm_judge,96.67,100.0,0.7504,0.811,10.9545,2202.0
9_HyDE_Embeddings_CrossEncoder,llm_judge,93.33,100.0,0.7753,0.83,10.8966,2262.7
10_Ambos_Embeddings_CrossEncoder,llm_judge,93.33,100.0,0.7268,0.7925,14.2942,2195.6
11_Ambos_Hibrido_CrossEncoder,llm_judge,93.33,100.0,0.7915,0.8413,17.8805,2192.1
