Corte,Valor,n,%,Uso en E4
Dominio regulatorio,Credito,30,27.522935779816514,subgrupo MA6
Dominio regulatorio,Liquidez,79,72.47706422018348,subgrupo MA6
Complejidad/dificultad,Alta,48,44.03669724770643,subgrupo MA6
Complejidad/dificultad,Baja,14,12.844036697247708,subgrupo MA6
Complejidad/dificultad,Media,47,43.11926605504588,subgrupo MA6
Longitud query,corta (<=10 tokens),19,17.431192660550458,subgrupo MA6
Longitud query,larga (>18 tokens),19,17.431192660550458,subgrupo MA6
Longitud query,media (11-18 tokens),71,65.13761467889908,subgrupo MA6
Idioma,es,109,100.0,control MA2/BL6
Multi-documento/multi-chunk esperado,No,109,100.0,control MA2/BL6
